Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
0.44527536635526355,0.35350596784886457,0.4636477327026706,0.39824416502145005,0.29844864630506923,0.40953656586852694,0.39739749270053715,0.36218547491815645,0.3495708707916973,0.3804907709155934,0.3632872808119218,0.35149616592575644,0.3895174711777813,0.37137274361927713,0.39255315894173515,0.3769205784340066,0.35851707236323743,0.3917014720763366,0.4193239902462448,0.4016949570719228,0.36665731755813935,0.39651921533466244,0.3568446180679699,0.35692172745174366,0.36954785957461594,0.3548070523383731,0.315956160475846,0.20366394660040152,0.27932783488648794,0.2917217584692299,0.328312704724515,0.41900254316878494
0.4394674760923227,0.40075705293767083,0.4578451545069043,0.4312238882581876,0.38451895687868526,0.42761366701434383,0.41543605356650115,0.41955298229630794,0.36519249332038,0.3926617517601762,0.3749839574320415,0.37956568661516715,0.4030609955250637,0.3840037566870075,0.3850212066215751,0.408495517156045,0.41462353290935544,0.4304088809210717,0.44994866228053815,0.42043592750164394,0.42693885058547626,0.4202103618225971,0.40019697021008493,0.357077578080118,0.3501331764272547,0.3597281001087884,0.32729976822764295,0.24197003720986687,0.31349590415213596,0.30046392922990534,0.3612466367885763,0.43122067655950025
0.47386302510579636,0.3882419505846875,0.43085488710488024,0.42767099884275206,0.41920037228992535,0.41769567902998805,0.40558223265581655,0.4074548363827722,0.37359836094448795,0.38159259312180244,0.37073017045606727,0.3808929861759665,0.3930044941998806,0.373272994781691,0.36644262385511733,0.38341657057813344,0.393904822124499,0.423243919131167,0.4191816496388765,0.4150817229351183,0.4396664399095814,0.39269465825357247,0.41299051062480363,0.41467680383272804,0.4200602810903367,0.39047251268056443,0.40447704246423205,0.36114327143640573,0.38353637642197813,0.38890072088874916,0.4106261425664743,0.37622413828792567
0.47069851781414657,0.3653942017943436,0.4347440311926883,0.4236863788441277,0.4502559704239071,0.43228879819998683,0.39755222863737943,0.3833199456872913,0.4088089716107431,0.36065684764952194,0.3639398743218701,0.3647645662565893,0.38033069915831436,0.3732724309373394,0.37497938325674124,0.37517504009587077,0.37809105647769536,0.4187924670138516,0.3920970651389275,0.40277297591878797,0.4207757710825635,0.3499550690042769,0.40191725911733345,0.43411309024837164,0.4686272525286426,0.4153546609043248,0.4470913736590414,0.4071486145843454,0.44641341677668195,0.4407405660582332,0.41461482296622937,0.3591454652723956
0.46599385076730276,0.3916741491301727,0.4274924337000778,0.3935563865748473,0.4252819929593112,0.4276977197266898,0.3995311600325502,0.3635859421059312,0.40410257181661235,0.3715032515831524,0.37525580116500934,0.36244396200174744,0.36683784268751585,0.36635042041647875,0.37883753837994394,0.3935929615733338,0.39237152713791174,0.37646530494345093,0.36254034249131406,0.37138823879054705,0.4156014703569482,0.34346548990177134,0.38622155091345917,0.41514634137735457,0.4704154741032179,0.4189666351891643,0.3806013009783465,0.3938848342241483,0.43701271632688105,0.3952576437610396,0.4006301398663886,0.3596368216706917
0.4919739482940128,0.39342569833871927,0.4130773152091158,0.35877103637081326,0.4095875042763327,0.3879840305931224,0.416722227172198,0.3354288392698094,0.3713866101064779,0.4284188486044017,0.41033129823275544,0.38177809371248644,0.3739420202648178,0.381027944397348,0.36489201127218274,0.38151081420472227,0.38151361637900144,0.37027240791093896,0.3722596315345623,0.38245300543880323,0.4478014980707386,0.3757927791490008,0.42223769205306955,0.4130368565533281,0.4529999070678643,0.4362299169368108,0.36202266657354415,0.3659032846426224,0.42785652976912636,0.37980712912817566,0.4062957454940184,0.3761305395561263
0.5207620642717262,0.42683932659715096,0.45264570429692347,0.32025330555439063,0.42143204819742036,0.4088683548936439,0.42523739698697904,0.3519972273333224,0.3481063282224704,0.43127055607159975,0.40815131636455226,0.3696914720580692,0.37655510461429176,0.3558177336306562,0.34023340473868235,0.3496734466964247,0.3612120056530657,0.3803498542287499,0.3993003063858275,0.3889969398324119,0.41789301434239146,0.4046427289520953,0.45316640452352236,0.3844364909095244,0.4032001583980064,0.38436991021226397,0.33706884018874317,0.31279809912064566,0.35109061980145945,0.3317281857669886,0.4079493887660534,0.38184110780317393
0.5167802526306595,0.44390346269090575,0.458202924581341,0.31855940150010303,0.39262284779805984,0.4076513498143901,0.404098175727512,0.411919028827084,0.39980953581024886,0.41644857375612565,0.3888644985565692,0.34170334058533625,0.3810595830232513,0.352771873379472,0.3493471730926353,0.35562251897820996,0.35358538002561024,0.37054207375141135,0.3920146435465089,0.37477622616654327,0.392809465870526,0.40734202383569246,0.42478903433701526,0.35688475087940164,0.373170191253183,0.36146655671675726,0.32778119207093553,0.3031947818381409,0.3526434224369402,0.3172354875562577,0.3921246280359731,0.3530421073582545
0.5097459504347722,0.41408370338402495,0.4499955493171833,0.3836130668704985,0.4117411083129221,0.3873307808566373,0.3782994634465104,0.41843011323943413,0.41633361386471057,0.3745519723631275,0.35426968281678983,0.3252434059086484,0.3459757345679368,0.3623651574061988,0.33998135346884706,0.35195488589080026,0.34781348383387906,0.36645938768257824,0.37335587651930846,0.382545830431484,0.38690632387631313,0.38847960040475427,0.45351582077678615,0.40670232392772,0.4377986805851324,0.42814950341411817,0.41647124966181265,0.39218028242916525,0.4520425320483809,0.4189268027119488,0.42113960859178784,0.35519526111403465
0.46187736466698964,0.4344966479703833,0.4435662564839737,0.3904910143245606,0.37959178935139887,0.4888647281841388,0.38344154210217735,0.4037159305718317,0.3667601758535827,0.34205587027133133,0.32972804693353813,0.32057501548732226,0.35101821201828803,0.35669127736056444,0.3213494137212468,0.3480690040846566,0.35594686333698533,0.3656356910984375,0.37968428903945567,0.3839433918829634,0.38750727961954495,0.3763384246832145,0.461186364887826,0.4036560675151011,0.4562129979795835,0.4606580169076692,0.3951337021698223,0.3749165238860906,0.4569478025744522,0.400131151373533,0.4058613765018751,0.3945366988940989
